<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HUFUSD,D,20220825,000000,0.0024150,0.0024380,0.0023990,0.0024030,288
HUFUSD,D,20220826,000000,0.0024060,0.0024260,0.0023930,0.0024030,271
HUFUSD,D,20220828,000000,0.0024010,0.0024020,0.0024010,0.0024010,41
HUFUSD,D,20220829,000000,0.0023970,0.0024360,0.0023850,0.0024360,288
HUFUSD,D,20220830,000000,0.0024340,0.0024730,0.0024230,0.0024720,288
HUFUSD,D,20220831,000000,0.0024710,0.0024930,0.0024410,0.0024850,288
HUFUSD,D,20220901,000000,0.0024870,0.0024950,0.0024520,0.0024560,288
HUFUSD,D,20220902,000000,0.0024560,0.0024970,0.0024520,0.0024570,259
HUFUSD,D,20220904,000000,0.0024570,0.0024600,0.0024490,0.0024490,62
HUFUSD,D,20220905,000000,0.0024530,0.0024530,0.0024300,0.0024430,288
HUFUSD,D,20220906,000000,0.0024400,0.0024610,0.0024280,0.0024320,288
HUFUSD,D,20220907,000000,0.0024310,0.0025120,0.0024230,0.0025040,288
HUFUSD,D,20220908,000000,0.0025060,0.0025200,0.0024800,0.0025000,288
HUFUSD,D,20220909,000000,0.0025010,0.0025410,0.0025010,0.0025120,262
HUFUSD,D,20220911,000000,0.0025110,0.0025330,0.0025110,0.0025190,69
HUFUSD,D,20220912,000000,0.0025190,0.0025640,0.0025180,0.0025270,288
HUFUSD,D,20220913,000000,0.0025270,0.0025470,0.0024730,0.0024800,288
HUFUSD,D,20220914,000000,0.0024770,0.0024850,0.0024360,0.0024410,288
HUFUSD,D,20220915,000000,0.0024420,0.0024450,0.0024200,0.0024200,288
HUFUSD,D,20220916,000000,0.0024210,0.0024620,0.0024190,0.0024550,269
HUFUSD,D,20220918,000000,0.0024540,0.0024600,0.0024470,0.0024520,59
HUFUSD,D,20220919,000000,0.0024580,0.0024970,0.0024420,0.0024960,288
HUFUSD,D,20220920,000000,0.0024980,0.0025020,0.0024600,0.0024640,288
HUFUSD,D,20220921,000000,0.0024630,0.0024700,0.0023940,0.0023940,288
HUFUSD,D,20220922,000000,0.0023970,0.0024230,0.0023860,0.0024070,288
