<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NOKUSD,D,20220825,000000,0.1029050,0.1040440,0.1026220,0.1033900,3497
NOKUSD,D,20220826,000000,0.1032340,0.1042950,0.1020890,0.1023100,3162
NOKUSD,D,20220828,000000,0.1026600,0.1026600,0.1007090,0.1019600,509
NOKUSD,D,20220829,000000,0.1018530,0.1028200,0.1010980,0.1026700,3516
NOKUSD,D,20220830,000000,0.1025310,0.1031300,0.1012990,0.1017680,3522
NOKUSD,D,20220831,000000,0.1016400,0.1024500,0.1001140,0.1004000,3526
NOKUSD,D,20220901,000000,0.1002890,0.1003000,0.0990180,0.0994700,3489
NOKUSD,D,20220902,000000,0.0992800,0.1005700,0.0991470,0.0997600,3164
NOKUSD,D,20220904,000000,0.0997600,0.0998200,0.0981130,0.0992580,538
NOKUSD,D,20220905,000000,0.0992600,0.1005700,0.0991370,0.1003410,3408
NOKUSD,D,20220906,000000,0.1003590,0.1008600,0.0991890,0.0994150,3472
NOKUSD,D,20220907,000000,0.0994190,0.1001800,0.0990170,0.0996930,3512
NOKUSD,D,20220908,000000,0.0996960,0.1001480,0.0984920,0.0995580,3465
NOKUSD,D,20220909,000000,0.0995490,0.1015600,0.0994370,0.1007300,3153
NOKUSD,D,20220911,000000,0.1009100,0.1014100,0.0999530,0.1012100,626
NOKUSD,D,20220912,000000,0.1010910,0.1021900,0.1007000,0.1015900,3503
NOKUSD,D,20220913,000000,0.1013280,0.1019200,0.0984740,0.0988700,3519
NOKUSD,D,20220914,000000,0.0987790,0.0994700,0.0984730,0.0990600,3469
NOKUSD,D,20220915,000000,0.0989490,0.0991060,0.0977520,0.0981200,3452
NOKUSD,D,20220916,000000,0.0980980,0.0984500,0.0971480,0.0981200,3161
NOKUSD,D,20220918,000000,0.0980800,0.0981700,0.0971340,0.0980310,448
NOKUSD,D,20220919,000000,0.0980580,0.0981900,0.0967230,0.0978780,3468
NOKUSD,D,20220920,000000,0.0978770,0.0981700,0.0959070,0.0966310,3495
NOKUSD,D,20220921,000000,0.0966320,0.0974700,0.0956820,0.0963300,3503
NOKUSD,D,20220922,000000,0.0962910,0.0971500,0.0956340,0.0960260,3505
NOKUSD,D,20220923,000000,0.0960350,0.0962300,0.0937650,0.0942900,3167
NOKUSD,D,20220925,000000,0.0942900,0.0945600,0.0934840,0.0942800,497
NOKUSD,D,20220926,000000,0.0941430,0.0943400,0.0919690,0.0926400,3483
NOKUSD,D,20220927,000000,0.0925910,0.0935000,0.0920250,0.0924320,3516
NOKUSD,D,20220928,000000,0.0924180,0.0938600,0.0907710,0.0934100,3464
NOKUSD,D,20220929,000000,0.0933260,0.0937800,0.0918880,0.0936000,3498
NOKUSD,D,20220930,000000,0.0934900,0.0939600,0.0915880,0.0918400,3175
NOKUSD,D,20221002,000000,0.0918200,0.0921400,0.0910240,0.0917840,406
NOKUSD,D,20221003,000000,0.0917980,0.0939800,0.0916660,0.0938530,3475
NOKUSD,D,20221004,000000,0.0938470,0.0958800,0.0935180,0.0956380,3454
NOKUSD,D,20221005,000000,0.0955860,0.0958200,0.0936060,0.0951700,3440
NOKUSD,D,20221006,000000,0.0951670,0.0956200,0.0930050,0.0931220,3457
NOKUSD,D,20221007,000000,0.0931340,0.0937600,0.0928080,0.0932900,3182
NOKUSD,D,20221009,000000,0.0932600,0.0934200,0.0925110,0.0932500,553
NOKUSD,D,20221010,000000,0.0930860,0.0941600,0.0926440,0.0936500,3498
NOKUSD,D,20221011,000000,0.0935760,0.0940150,0.0925030,0.0928900,3494
NOKUSD,D,20221012,000000,0.0927920,0.0937000,0.0924350,0.0927370,2600
NOKUSD,D,20221013,000000,0.0927270,0.0950200,0.0920150,0.0944200,3420
NOKUSD,D,20221014,000000,0.0942680,0.0951040,0.0913490,0.0930500,3161
NOKUSD,D,20221016,000000,0.0913490,0.0939200,0.0913490,0.0937720,318
NOKUSD,D,20221017,000000,0.0937560,0.0951420,0.0934930,0.0949390,3546
NOKUSD,D,20221018,000000,0.0948880,0.0955600,0.0939770,0.0947240,3499
NOKUSD,D,20221019,000000,0.0946600,0.0948300,0.0937110,0.0939490,3452
NOKUSD,D,20221020,000000,0.0939380,0.0947630,0.0929080,0.0935650,3486
NOKUSD,D,20221021,000000,0.0935070,0.0953600,0.0930260,0.0938810,3100
NOKUSD,D,20221023,000000,0.0953200,0.0955700,0.0939730,0.0952900,307
NOKUSD,D,20221024,000000,0.0946540,0.0953400,0.0939700,0.0951800,3538
NOKUSD,D,20221025,000000,0.0950700,0.0964400,0.0945610,0.0960520,3502
NOKUSD,D,20221026,000000,0.0959420,0.0977000,0.0957520,0.0977000,3499
NOKUSD,D,20221027,000000,0.0975830,0.0977940,0.0961930,0.0972800,3465
NOKUSD,D,20221028,000000,0.0971460,0.0976300,0.0962930,0.0967400,3144
NOKUSD,D,20221030,000000,0.0967100,0.0968900,0.0949780,0.0965880,459
NOKUSD,D,20221031,000000,0.0966390,0.0968300,0.0955990,0.0961210,3491
NOKUSD,D,20221101,000000,0.0961540,0.0977120,0.0957070,0.0964540,3558
NOKUSD,D,20221102,000000,0.0964400,0.0973800,0.0950270,0.0954200,3409
NOKUSD,D,20221103,000000,0.0953570,0.0958200,0.0938510,0.0943680,3519
NOKUSD,D,20221104,000000,0.0943610,0.0977600,0.0943400,0.0975800,3137
NOKUSD,D,20221106,000000,0.0977300,0.0978000,0.0944990,0.0970380,446
NOKUSD,D,20221107,000000,0.0970620,0.0979220,0.0967590,0.0977230,3531
NOKUSD,D,20221108,000000,0.0977290,0.0982000,0.0968310,0.0975440,3485
NOKUSD,D,20221109,000000,0.0975410,0.0978280,0.0957210,0.0962250,3498
NOKUSD,D,20221110,000000,0.0962230,0.0992900,0.0954770,0.0987620,3530
NOKUSD,D,20221111,000000,0.0988790,0.1010400,0.0984070,0.1007200,3316
NOKUSD,D,20221113,000000,0.1006500,0.1010400,0.0986440,0.1002260,444
NOKUSD,D,20221114,000000,0.1002740,0.1009800,0.0985810,0.0994600,3552
NOKUSD,D,20221115,000000,0.0994650,0.1012900,0.0991680,0.1000510,3513
NOKUSD,D,20221116,000000,0.1000640,0.1008600,0.0988310,0.0998100,3555
NOKUSD,D,20221117,000000,0.0998030,0.0999820,0.0979740,0.0986290,3489
NOKUSD,D,20221118,000000,0.0986320,0.0991600,0.0978520,0.0980600,3318
NOKUSD,D,20221120,000000,0.0980700,0.0983400,0.0975440,0.0978610,290
NOKUSD,D,20221121,000000,0.0978440,0.0983300,0.0965990,0.0972360,3555
NOKUSD,D,20221122,000000,0.0972840,0.0989700,0.0972120,0.0989040,3557
NOKUSD,D,20221123,000000,0.0989180,0.1006470,0.0986470,0.1005800,3562
NOKUSD,D,20221124,000000,0.1005260,0.1010300,0.0997500,0.1006870,3466
NOKUSD,D,20221125,000000,0.1006870,0.1013000,0.1001010,0.1011000,3247
NOKUSD,D,20221127,000000,0.1011900,0.1015400,0.1000070,0.1008500,407
NOKUSD,D,20221128,000000,0.1003210,0.1010880,0.0993170,0.0996800,3220
NOKUSD,D,20221129,000000,0.0996790,0.1007240,0.0993990,0.0996880,3500
NOKUSD,D,20221130,000000,0.0996970,0.1017500,0.0995450,0.1015870,3527
NOKUSD,D,20221201,000000,0.1016270,0.1029500,0.1014720,0.1026720,3501
NOKUSD,D,20221202,000000,0.1026910,0.1029400,0.1013030,0.1022800,3322
NOKUSD,D,20221204,000000,0.1023900,0.1025900,0.1014070,0.1017530,369
NOKUSD,D,20221205,000000,0.1018820,0.1029400,0.0998670,0.1004170,3501
NOKUSD,D,20221206,000000,0.1004350,0.1009840,0.0994280,0.0997590,3473
NOKUSD,D,20221207,000000,0.0997560,0.1002480,0.0991880,0.0996740,3507
NOKUSD,D,20221208,000000,0.0996750,0.1005350,0.0995010,0.1001760,3453
NOKUSD,D,20221209,000000,0.1001720,0.1006900,0.0994300,0.1000100,3304
NOKUSD,D,20221211,000000,0.0999100,0.1000300,0.0993310,0.0996760,420
NOKUSD,D,20221212,000000,0.0997200,0.1003200,0.0993790,0.1000170,3496
NOKUSD,D,20221213,000000,0.1000380,0.1025500,0.0999170,0.1021150,3477
NOKUSD,D,20221214,000000,0.1021250,0.1030300,0.1015700,0.1027170,3494
NOKUSD,D,20221215,000000,0.1027070,0.1028000,0.1006230,0.1011980,3515
NOKUSD,D,20221216,000000,0.1011510,0.1018800,0.1007470,0.1009900,3317
NOKUSD,D,20221218,000000,0.1009900,0.1011500,0.1002670,0.1008900,264
NOKUSD,D,20221219,000000,0.1008900,0.1018410,0.1003600,0.1009600,3501
NOKUSD,D,20221220,000000,0.1008470,0.1015420,0.1002970,0.1011550,3484
NOKUSD,D,20221221,000000,0.1011750,0.1021400,0.1008800,0.1016300,3497
NOKUSD,D,20221222,000000,0.1015370,0.1025400,0.1005860,0.1012100,3463
NOKUSD,D,20221223,000000,0.1010020,0.1017600,0.1007000,0.1012000,3308
NOKUSD,D,20221225,000000,0.1008300,0.1008300,0.1008300,0.1008300,15
