<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RUBUSD,D,20220826,000000,0.0165780,0.0166960,0.0163800,0.0165440,190
RUBUSD,D,20220828,000000,0.0165440,0.0166540,0.0165440,0.0165440,22
RUBUSD,D,20220829,000000,0.0165440,0.0166540,0.0159600,0.0161540,196
RUBUSD,D,20220830,000000,0.0161540,0.0166540,0.0161540,0.0166540,209
RUBUSD,D,20220831,000000,0.0166270,0.0167670,0.0163200,0.0165920,208
RUBUSD,D,20220901,000000,0.0165920,0.0168600,0.0163760,0.0165690,234
RUBUSD,D,20220902,000000,0.0165690,0.0168310,0.0163470,0.0165510,212
RUBUSD,D,20220904,000000,0.0165490,0.0165590,0.0163530,0.0165590,30
RUBUSD,D,20220905,000000,0.0165590,0.0165690,0.0158620,0.0164810,207
RUBUSD,D,20220906,000000,0.0164810,0.0164810,0.0159920,0.0162800,231
RUBUSD,D,20220907,000000,0.0162800,0.0164690,0.0159640,0.0159640,238
RUBUSD,D,20220908,000000,0.0159640,0.0164890,0.0159350,0.0164480,192
RUBUSD,D,20220909,000000,0.0166200,0.0166200,0.0163530,0.0164680,208
RUBUSD,D,20220911,000000,0.0166800,0.0166800,0.0164790,0.0164790,23
RUBUSD,D,20220912,000000,0.0160320,0.0166070,0.0160320,0.0165760,258
RUBUSD,D,20220913,000000,0.0165230,0.0167810,0.0161060,0.0161060,242
RUBUSD,D,20220914,000000,0.0161060,0.0167600,0.0160730,0.0167030,195
RUBUSD,D,20220915,000000,0.0166940,0.0167310,0.0163200,0.0167310,231
RUBUSD,D,20220916,000000,0.0167310,0.0167310,0.0162700,0.0165100,231
RUBUSD,D,20220918,000000,0.0164890,0.0164890,0.0164890,0.0164890,18
RUBUSD,D,20220919,000000,0.0165920,0.0166060,0.0161870,0.0166060,207
RUBUSD,D,20220920,000000,0.0166060,0.0166480,0.0160400,0.0160400,249
RUBUSD,D,20220921,000000,0.0162470,0.0164820,0.0159530,0.0163090,233
RUBUSD,D,20220922,000000,0.0165920,0.0167710,0.0162840,0.0166820,225
RUBUSD,D,20220923,000000,0.0169310,0.0175420,0.0165130,0.0172390,222
RUBUSD,D,20220925,000000,0.0174270,0.0174270,0.0172970,0.0173500,22
RUBUSD,D,20220926,000000,0.0173500,0.0174270,0.0169740,0.0170540,202
RUBUSD,D,20220927,000000,0.0171350,0.0171940,0.0166240,0.0169380,194
RUBUSD,D,20220928,000000,0.0172690,0.0172690,0.0168230,0.0172310,244
RUBUSD,D,20220929,000000,0.0173590,0.0174270,0.0169150,0.0173510,218
RUBUSD,D,20220930,000000,0.0173510,0.0175350,0.0161540,0.0165900,223
RUBUSD,D,20221002,000000,0.0167160,0.0167220,0.0165580,0.0165580,51
RUBUSD,D,20221003,000000,0.0165580,0.0173940,0.0165580,0.0171920,220
RUBUSD,D,20221004,000000,0.0171920,0.0171940,0.0165820,0.0168950,248
RUBUSD,D,20221005,000000,0.0168950,0.0171640,0.0162540,0.0164850,266
RUBUSD,D,20221006,000000,0.0165300,0.0165640,0.0159660,0.0162200,197
RUBUSD,D,20221007,000000,0.0164820,0.0164820,0.0159220,0.0160440,219
RUBUSD,D,20221009,000000,0.0159980,0.0159980,0.0159980,0.0159980,6
RUBUSD,D,20221010,000000,0.0162930,0.0162930,0.0155770,0.0157930,232
RUBUSD,D,20221011,000000,0.0157930,0.0157930,0.0152490,0.0154080,217
RUBUSD,D,20221012,000000,0.0156770,0.0156770,0.0151000,0.0151350,177
RUBUSD,D,20221013,000000,0.0151350,0.0157830,0.0150540,0.0154160,223
RUBUSD,D,20221014,000000,0.0158270,0.0162200,0.0155300,0.0159220,225
RUBUSD,D,20221016,000000,0.0160230,0.0163070,0.0159220,0.0159220,25
RUBUSD,D,20221017,000000,0.0159220,0.0162530,0.0158700,0.0160760,229
RUBUSD,D,20221018,000000,0.0160760,0.0163800,0.0159600,0.0160890,245
RUBUSD,D,20221019,000000,0.0162670,0.0162770,0.0159600,0.0161710,213
RUBUSD,D,20221020,000000,0.0163470,0.0163530,0.0159710,0.0162520,193
RUBUSD,D,20221021,000000,0.0162120,0.0163070,0.0160890,0.0162220,180
RUBUSD,D,20221023,000000,0.0161810,0.0161810,0.0161810,0.0161810,18
RUBUSD,D,20221024,000000,0.0162200,0.0163000,0.0159730,0.0162170,182
RUBUSD,D,20221025,000000,0.0162870,0.0163470,0.0160240,0.0162800,214
RUBUSD,D,20221026,000000,0.0163470,0.0163470,0.0160750,0.0162800,241
RUBUSD,D,20221027,000000,0.0162800,0.0163000,0.0160900,0.0162670,230
RUBUSD,D,20221028,000000,0.0162670,0.0162670,0.0159980,0.0162140,226
RUBUSD,D,20221030,000000,0.0162120,0.0162140,0.0162120,0.0162120,14
RUBUSD,D,20221031,000000,0.0162140,0.0163540,0.0159920,0.0160630,203
RUBUSD,D,20221101,000000,0.0160760,0.0162670,0.0157390,0.0157390,230
RUBUSD,D,20221102,000000,0.0157390,0.0163530,0.0157390,0.0161500,260
RUBUSD,D,20221103,000000,0.0164280,0.0164620,0.0158870,0.0159630,252
RUBUSD,D,20221104,000000,0.0159630,0.0162120,0.0159410,0.0160890,245
RUBUSD,D,20221106,000000,0.0160960,0.0163600,0.0160960,0.0160960,17
RUBUSD,D,20221107,000000,0.0160950,0.0163420,0.0157830,0.0157830,248
RUBUSD,D,20221108,000000,0.0157830,0.0164620,0.0157830,0.0164310,259
RUBUSD,D,20221109,000000,0.0163640,0.0164620,0.0161100,0.0162200,272
RUBUSD,D,20221110,000000,0.0161110,0.0165570,0.0159270,0.0165060,276
RUBUSD,D,20221111,000000,0.0165060,0.0166200,0.0163470,0.0164750,270
RUBUSD,D,20221113,000000,0.0166130,0.0167460,0.0164750,0.0167460,82
RUBUSD,D,20221114,000000,0.0167460,0.0167470,0.0161790,0.0161790,263
RUBUSD,D,20221115,000000,0.0161790,0.0165660,0.0161790,0.0162870,215
RUBUSD,D,20221116,000000,0.0162200,0.0165830,0.0161700,0.0163260,259
RUBUSD,D,20221117,000000,0.0163260,0.0165620,0.0163260,0.0163710,259
RUBUSD,D,20221118,000000,0.0163710,0.0167100,0.0163710,0.0165000,250
RUBUSD,D,20221120,000000,0.0165120,0.0166610,0.0165120,0.0165120,25
RUBUSD,D,20221121,000000,0.0166070,0.0166610,0.0162400,0.0164450,241
RUBUSD,D,20221122,000000,0.0164450,0.0164890,0.0162640,0.0164110,288
RUBUSD,D,20221123,000000,0.0164110,0.0165210,0.0163740,0.0164070,274
RUBUSD,D,20221124,000000,0.0164130,0.0166750,0.0161670,0.0164650,243
RUBUSD,D,20221125,000000,0.0164650,0.0165540,0.0162430,0.0164210,270
RUBUSD,D,20221127,000000,0.0164500,0.0164500,0.0164500,0.0164500,12
RUBUSD,D,20221128,000000,0.0166070,0.0167600,0.0161870,0.0163640,217
RUBUSD,D,20221129,000000,0.0163640,0.0164010,0.0161020,0.0163930,279
RUBUSD,D,20221130,000000,0.0163930,0.0164760,0.0162270,0.0164040,285
RUBUSD,D,20221201,000000,0.0164040,0.0164040,0.0160000,0.0163420,274
RUBUSD,D,20221202,000000,0.0162790,0.0162930,0.0158960,0.0161940,193
RUBUSD,D,20221204,000000,0.0159570,0.0162140,0.0159570,0.0162140,22
RUBUSD,D,20221205,000000,0.0162140,0.0162140,0.0158710,0.0159410,248
RUBUSD,D,20221206,000000,0.0161670,0.0162520,0.0156390,0.0159790,255
RUBUSD,D,20221207,000000,0.0159790,0.0162140,0.0157080,0.0160000,219
RUBUSD,D,20221208,000000,0.0160830,0.0160830,0.0157330,0.0157780,241
RUBUSD,D,20221209,000000,0.0157780,0.0160270,0.0157780,0.0159440,235
RUBUSD,D,20221211,000000,0.0159550,0.0159550,0.0159540,0.0159540,20
RUBUSD,D,20221212,000000,0.0159540,0.0159840,0.0157700,0.0158510,248
RUBUSD,D,20221213,000000,0.0159190,0.0160180,0.0156710,0.0157770,268
RUBUSD,D,20221214,000000,0.0157770,0.0158180,0.0153300,0.0153300,250
RUBUSD,D,20221215,000000,0.0156650,0.0156650,0.0152850,0.0154100,261
RUBUSD,D,20221216,000000,0.0153610,0.0154970,0.0152680,0.0153740,252
RUBUSD,D,20221218,000000,0.0153670,0.0155790,0.0153670,0.0155790,29
RUBUSD,D,20221219,000000,0.0153900,0.0153900,0.0143800,0.0147320,226
RUBUSD,D,20221220,000000,0.0147040,0.0148230,0.0140350,0.0141950,217
RUBUSD,D,20221221,000000,0.0138970,0.0141800,0.0137230,0.0139710,277
RUBUSD,D,20221222,000000,0.0139710,0.0146580,0.0136870,0.0146580,271
RUBUSD,D,20221223,000000,0.0145570,0.0147540,0.0141850,0.0144270,254
RUBUSD,D,20221225,000000,0.0144270,0.0144270,0.0144270,0.0144270,6
