<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SGDUSD,D,20220825,000000,0.7171000,0.7202000,0.7167000,0.7194000,1419
SGDUSD,D,20220826,000000,0.7198000,0.7210000,0.7165000,0.7170000,1323
SGDUSD,D,20220828,000000,0.7170000,0.7170000,0.7150000,0.7155000,176
SGDUSD,D,20220829,000000,0.7155000,0.7172000,0.7138000,0.7166000,1475
SGDUSD,D,20220830,000000,0.7165000,0.7172000,0.7144000,0.7149000,1459
SGDUSD,D,20220831,000000,0.7149000,0.7174000,0.7143000,0.7148000,1507
SGDUSD,D,20220901,000000,0.7143000,0.7153000,0.7123000,0.7130000,1410
SGDUSD,D,20220902,000000,0.7134000,0.7150000,0.7124000,0.7127000,1346
SGDUSD,D,20220904,000000,0.7131000,0.7134000,0.7122000,0.7122000,194
SGDUSD,D,20220905,000000,0.7125000,0.7131000,0.7107000,0.7131000,1201
SGDUSD,D,20220906,000000,0.7131000,0.7139000,0.7099000,0.7106000,1489
SGDUSD,D,20220907,000000,0.7106000,0.7122000,0.7085000,0.7113000,1344
SGDUSD,D,20220908,000000,0.7117000,0.7125000,0.7097000,0.7121000,1530
SGDUSD,D,20220909,000000,0.7122000,0.7162000,0.7119000,0.7141000,1311
SGDUSD,D,20220911,000000,0.7146000,0.7153000,0.7140000,0.7150000,118
SGDUSD,D,20220912,000000,0.7147000,0.7168000,0.7140000,0.7160000,1336
SGDUSD,D,20220913,000000,0.7164000,0.7173000,0.7103000,0.7110000,1440
SGDUSD,D,20220914,000000,0.7107000,0.7128000,0.7104000,0.7114000,1430
SGDUSD,D,20220915,000000,0.7114000,0.7118000,0.7090000,0.7093000,1344
SGDUSD,D,20220916,000000,0.7094000,0.7112000,0.7082000,0.7106000,1229
SGDUSD,D,20220918,000000,0.7108000,0.7113000,0.7086000,0.7112000,166
SGDUSD,D,20220919,000000,0.7112000,0.7113000,0.7085000,0.7101000,1194
SGDUSD,D,20220920,000000,0.7105000,0.7109000,0.7083000,0.7091000,1172
SGDUSD,D,20220921,000000,0.7090000,0.7093000,0.7043000,0.7048000,1415
SGDUSD,D,20220922,000000,0.7047000,0.7068000,0.7028000,0.7052000,1533
SGDUSD,D,20220923,000000,0.7053000,0.7054000,0.6978000,0.6984000,1525
SGDUSD,D,20220925,000000,0.6984000,0.6994000,0.6959000,0.6991000,222
SGDUSD,D,20220926,000000,0.6993000,0.6994000,0.6944000,0.6961000,1725
SGDUSD,D,20220927,000000,0.6962000,0.6972000,0.6936000,0.6949000,1544
SGDUSD,D,20220928,000000,0.6950000,0.6978000,0.6897000,0.6961000,1796
SGDUSD,D,20220929,000000,0.6960000,0.6988000,0.6922000,0.6986000,1723
SGDUSD,D,20220930,000000,0.6985000,0.6993000,0.6956000,0.6961000,1552
SGDUSD,D,20221002,000000,0.6963000,0.6971000,0.6955000,0.6964000,149
SGDUSD,D,20221003,000000,0.6963000,0.6996000,0.6953000,0.6990000,1497
SGDUSD,D,20221004,000000,0.6991000,0.7032000,0.6979000,0.7027000,1606
SGDUSD,D,20221005,000000,0.7026000,0.7042000,0.6991000,0.7029000,1565
SGDUSD,D,20221006,000000,0.7030000,0.7040000,0.6990000,0.6995000,1698
SGDUSD,D,20221007,000000,0.6996000,0.7003000,0.6968000,0.6973000,1594
SGDUSD,D,20221009,000000,0.6974000,0.6981000,0.6962000,0.6968000,184
SGDUSD,D,20221010,000000,0.6969000,0.6979000,0.6948000,0.6958000,1554
SGDUSD,D,20221011,000000,0.6957000,0.6979000,0.6936000,0.6947000,1733
SGDUSD,D,20221012,000000,0.6948000,0.6972000,0.6935000,0.6968000,1116
SGDUSD,D,20221013,000000,0.6967000,0.6994000,0.6945000,0.6986000,1603
SGDUSD,D,20221014,000000,0.6992000,0.7039000,0.6992000,0.7011000,1544
SGDUSD,D,20221016,000000,0.7006000,0.7018000,0.7006000,0.7014000,220
SGDUSD,D,20221017,000000,0.7013000,0.7046000,0.6999000,0.7032000,1625
SGDUSD,D,20221018,000000,0.7036000,0.7060000,0.7024000,0.7041000,1617
SGDUSD,D,20221019,000000,0.7044000,0.7046000,0.7008000,0.7009000,1497
SGDUSD,D,20221020,000000,0.7013000,0.7048000,0.7000000,0.7017000,1621
SGDUSD,D,20221021,000000,0.7019000,0.7066000,0.6983000,0.7062000,1641
SGDUSD,D,20221023,000000,0.7062000,0.7070000,0.7021000,0.7058000,236
SGDUSD,D,20221024,000000,0.7057000,0.7060000,0.7018000,0.7035000,1670
SGDUSD,D,20221025,000000,0.7034000,0.7063000,0.7011000,0.7056000,1657
SGDUSD,D,20221026,000000,0.7057000,0.7125000,0.7045000,0.7125000,1667
SGDUSD,D,20221027,000000,0.7123000,0.7130000,0.7081000,0.7092000,1692
SGDUSD,D,20221028,000000,0.7091000,0.7114000,0.7069000,0.7086000,1454
SGDUSD,D,20221030,000000,0.7084000,0.7086000,0.7075000,0.7079000,152
SGDUSD,D,20221031,000000,0.7079000,0.7087000,0.7053000,0.7066000,1371
SGDUSD,D,20221101,000000,0.7062000,0.7096000,0.7056000,0.7068000,1535
SGDUSD,D,20221102,000000,0.7069000,0.7117000,0.7044000,0.7050000,1605
SGDUSD,D,20221103,000000,0.7048000,0.7063000,0.7019000,0.7032000,1669
SGDUSD,D,20221104,000000,0.7031000,0.7131000,0.7030000,0.7121000,1571
